user_id,created_at,text,is_quote,is_retweet,retweet_text,retweet_created_at,lang
1256944454889603074,2022-07-04T18:03:47Z,"hi not new on #sttwt but would love to make new friends :)
my favs are Steve, Eddie, Rrobin and Max &lt;3 rts are appreciated &lt;3 #StrangerThings #sttwt moots",False,False,,,en
1455011189591785473,2022-07-04T18:03:46Z,WHY ISN’T ANYONE TALKING ABOUT THE MOST BADASS SCENE OF THIS SEASON? boy off the charts #StrangerThings https://t.co/j9WiJ66viJ,False,True,WHY ISN’T ANYONE TALKING ABOUT THE MOST BADASS SCENE OF THIS SEASON? boy off the charts #StrangerThings https://t.co/j9WiJ66viJ,2022-07-03T04:11:22Z,en
1140079074,2022-07-04T17:41:41Z,#StrangerThings no context https://t.co/SMW0CRNc3s,False,True,#StrangerThings no context https://t.co/SMW0CRNc3s,2022-07-02T02:01:47Z,en
1140079074,2022-07-04T17:36:05Z,what a good day to be a jopper stan #StrangerThings https://t.co/kCQXUkfeJk,False,True,what a good day to be a jopper stan #StrangerThings https://t.co/kCQXUkfeJk,2022-07-01T12:25:18Z,en
1140079074,2022-07-04T17:42:12Z,"HE IS MY HERO 👇🏽😭🫶🏼
#StrangerThings #StrangerThings4Vol2 #strangerthingsseason4 https://t.co/jb79hczovt",False,True,"HE IS MY HERO 👇🏽😭🫶🏼
#StrangerThings #StrangerThings4Vol2 #strangerthingsseason4 https://t.co/jb79hczovt",2022-07-02T15:02:20Z,en
1140079074,2022-07-04T17:41:51Z,"steve: i want to have six kids 

#strangerthings : but you already have https://t.co/i7OUXyWiJE",False,True,"steve: i want to have six kids 

#strangerthings : but you already have https://t.co/i7OUXyWiJE",2022-07-02T17:56:29Z,en
1140079074,2022-07-04T18:03:46Z,"#StrangerThings is able to create characters we love then kill them. Preserving the main cast. 

We in the fandom can lose sight of the true magic accomplishment: that enough love is created for the new characters for us to be upset! (Bob, Alexi, Eddie). #StrangerThings4Vol2",False,True,"#StrangerThings is able to create characters we love then kill them. Preserving the main cast. 

We in the fandom can lose sight of the true magic accomplishment: that enough love is created for the new characters for us to be upset! (Bob, Alexi, Eddie). #StrangerThings4Vol2",2022-07-04T13:43:00Z,en
1074027916994854912,2022-07-04T18:03:45Z,"thinking about ste(d/v)e x edward
#ofmd #steddie #strangerthings https://t.co/M6pgQn0pIN",False,True,"thinking about ste(d/v)e x edward
#ofmd #steddie #strangerthings https://t.co/M6pgQn0pIN",2022-07-04T14:40:21Z,en
932587741589712896,2022-07-04T18:03:44Z,This scene broke me...💔😭 #StrangerThings https://t.co/Wyw12A7QeC,False,True,This scene broke me...💔😭 #StrangerThings https://t.co/Wyw12A7QeC,2022-07-03T20:20:50Z,en
3428911174,2022-07-04T18:03:10Z,"Eddie didn't deserve what they did to him.
The rest of the main cast didn't even grief his death except Dustin. I'm a grown ass man and I genuinelly cried over this shit.
#StrangerThings #StrangerThings4 #strangerthingsseason4 https://t.co/UtBrqbaqMh",False,True,"Eddie didn't deserve what they did to him.
The rest of the main cast didn't even grief his death except Dustin. I'm a grown ass man and I genuinelly cried over this shit.
#StrangerThings #StrangerThings4 #strangerthingsseason4 https://t.co/UtBrqbaqMh",2022-07-03T05:57:28Z,en
3428911174,2022-07-04T17:54:38Z,This scene broke me...💔😭 #StrangerThings https://t.co/Wyw12A7QeC,False,True,This scene broke me...💔😭 #StrangerThings https://t.co/Wyw12A7QeC,2022-07-03T20:20:50Z,en
3428911174,2022-07-04T18:03:44Z,This dialogue between Jonathan and Will is so emotional. One of the sweetest scene in the show. It's really amazing the unconditional support that Jonathan gives and has always given to his brother since the first season 🫂 #StrangerThings #StrangerThings4 https://t.co/fvEkkVmKl1,False,True,This dialogue between Jonathan and Will is so emotional. One of the sweetest scene in the show. It's really amazing the unconditional support that Jonathan gives and has always given to his brother since the first season 🫂 #StrangerThings #StrangerThings4 https://t.co/fvEkkVmKl1,2022-07-03T08:35:02Z,en
25195476,2022-07-04T18:03:44Z,Max and Lucas mean everything to me literally one of the best couples to happen in the show ❤️ #StrangerThings https://t.co/wbfkN6nT0n,False,True,Max and Lucas mean everything to me literally one of the best couples to happen in the show ❤️ #StrangerThings https://t.co/wbfkN6nT0n,2022-07-01T09:59:39Z,en
963519780698411009,2022-07-04T18:03:43Z,"Check out this TV console. Let's make your home and office furniture at affordable price and comes with guarantee. https://t.co/JEz9klVs3K. 
#StrangerThings #OgbaruMassacre https://t.co/dsiyvmYAf5",False,True,"Check out this TV console. Let's make your home and office furniture at affordable price and comes with guarantee. https://t.co/JEz9klVs3K. 
#StrangerThings #OgbaruMassacre https://t.co/dsiyvmYAf5",2022-07-03T21:13:13Z,en
1364058392587862021,2022-07-04T18:03:41Z,lumax lucas sinclair x max mayfield the louvre lorde ship edit fancam fc cute sad stranger things #StrangerThings #strangerthingsseason4 https://t.co/TjhY1UXwjJ,False,False,,,en
